,dep,cases,population,norm,Tatwaffe_Stichwaffen,Tatwaffe_Schusswaffen,Tatwaffe_stumpfe_Waffen,Tatwaffe_Hiebwaffen,Tatwaffe_scharfe_Waffen,Tatwaffe_scharfe_Waffen2,Tatwaffe_ohne_Einsatz_von_Waffen,Tatwaffe_Rauschdroge(Scopolamine),Geschlecht_Männlich,Geschlecht_Weiblich,Altersgruppe_Erwachsen,Altersgruppe_Jugendlich,Altersgruppe_Minderjähriger,N,Nhh,urban,iwi,iwipov70,iwipov50,iwipov35,gini,qhousing,edyr20,womedyr20,menedyr20,edchild,workwom,agedifmar,infmort
0,ANTIOQUIA,53169,6677930,7.96,3973,207,31522,76,56,11,17089,235,12435,40734,47712,2914,2543,21609,6264,78.22,85.47,11.8,4.06,1.71,0.081,69.92966666666666,8.58,8.72,8.43,74.21333333333332,48.725,4.17,14.415
1,VALLE,41584,4532152,9.18,3604,345,29017,140,181,31,8011,255,10492,31092,36225,2537,2822,15442,4489,87.43,88.35,6.76,1.18,0.26,0.061,70.3141,9.2,9.11,9.31,76.355,53.145,3.41,10.921
2,SANTANDER,35841,2280908,15.71,3182,203,23599,63,97,18,8634,45,7620,28221,32718,1820,1303,6898,1904,75.43,85.86,11.46,2.5,0.89,0.079,70.74221666666666,8.58,8.82,8.28,78.685,60.985,3.57,16.224
3,SANTAFE DE BOGOTA D.C,27302,7743955,3.53,3471,287,11171,173,153,39,10223,1785,10253,17049,19440,3795,4067,26368,7521,99.8,89.93,5.65,0.32,0.02,0.054,73.44865,10.22,10.12,10.33,79.70666666666666,62.078,3.12,14.676
4,BOYACA,26355,1242731,21.21,1269,58,20094,51,56,7,4811,9,5120,21235,24020,1289,1046,4272,1316,56.68,80.61,21.62,6.14,1.89,0.11,64.75336666666666,7.54,7.67,7.4,79.18166666666667,60.205,4.01,12.395
5,CUNDINAMARCA,20675,3242999,6.38,2412,86,6207,31,23,4,11711,201,4491,16184,19085,868,722,8970,2464,67.31,84.78,15.03,2.47,0.87,0.088,67.51245,8.54,8.71,8.35,74.83666666666667,57.664,3.79,9.506
6,HUILA,16134,1122622,14.37,1276,74,12935,34,68,14,1732,1,2891,13243,14506,991,637,3865,1039,59.84,81.95,17.29,4.34,1.63,0.092,64.96201666666667,7.02,7.16,6.87,67.10833333333333,52.432,3.96,14.391
7,ATLANTICO,14660,2722128,5.39,1533,148,10066,33,36,21,2780,43,3367,11293,13288,770,602,8234,1931,95.7,85.19,11.95,1.66,0.26,0.075,68.9273,9.61,9.47,9.78,76.19666666666667,47.117,3.46,17.157
8,META,14244,1063454,13.39,1039,77,9542,14,45,2,3463,62,2770,11474,12878,824,542,3218,953,75.82,83.16,15.17,6.63,3.47,0.102,65.15885,8.66,8.91,8.37,73.86833333333334,60.764,3.8,3.776
9,BOLIVAR,14063,2180976,6.45,3539,90,6009,49,45,17,4203,111,3332,10731,13084,552,427,7019,1724,77.51,76.6,27.08,12.18,5.67,0.14,65.05893333333333,8.46,8.77,8.11,75.24166666666666,46.507,4.03,13.914
10,RISARALDA,13284,961055,13.82,826,46,10069,44,38,6,2246,9,3209,10075,11858,859,567,3186,999,78.29,86.86,8.08,0.32,0.07,0.061,67.59035,7.77,7.96,7.53,73.26333333333334,47.248,4.27,11.404
11,TOLIMA,13013,1339998,9.71,1541,70,5107,31,32,7,5764,461,2889,10124,11743,663,607,4713,1447,68.46,77.96,27.47,9.44,3.01,0.126,65.18361666666667,7.55,7.76,7.3,75.48,52.868,4.67,12.338
12,CAUCA,12743,1491937,8.54,1347,67,7520,37,25,24,3707,16,2684,10059,11529,730,484,4616,1310,39.73,72.77,36.87,15.31,6.33,0.155,60.08771666666667,6.92,7.02,6.81,73.18833333333333,58.231,3.7,16.011
13,NARINO,12118,1627589,7.45,877,49,6985,49,24,35,4060,39,2632,9486,11230,469,419,5838,1657,49.36,73.11,35.72,14.8,6.48,0.154,60.41578333333334,6.89,7.01,6.73,72.74666666666667,54.084,3.68,16.5
14,NORTE DE SANTANDER,11957,1620318,7.38,1122,124,7479,79,64,15,2842,232,2637,9320,11047,542,368,4538,1197,78.53,83.02,16.41,4.81,2.32,0.099,65.62774999999999,7.83,7.98,7.67,73.01666666666667,49.799,3.66,17.423
15,CORDOBA,10607,1828947,5.8,1054,25,7715,22,7,0,1753,31,1940,8667,9748,537,322,5722,1399,52.82,70.63,41.04,18.53,6.65,0.159,62.84226666666667,7.09,7.25,6.91,72.61833333333333,31.83,4.64,17.698
16,SUCRE,9131,949252,9.62,985,39,6113,19,29,11,1912,23,1786,7345,8389,484,258,2850,717,67.04,75.51,29.86,13.47,5.4,0.141,61.829866666666675,7.5,7.73,7.26,75.97666666666666,45.044,4.46,8.778
17,MAGDALENA,8868,1427026,6.21,761,42,6452,35,43,35,1396,104,1779,7089,8050,526,292,4217,985,73.58,73.6,32.78,13.01,5.42,0.143,60.776066666666665,7.53,7.93,7.12,72.94833333333334,33.629,4.12,22.298
18,CALDAS,8308,1018453,8.16,877,32,5708,29,28,11,1609,14,1623,6685,7355,508,445,3307,1015,71.72,86.26,9.8,1.23,0.12,0.071,68.78776666666666,8.22,8.42,7.97,76.27833333333335,46.452,4.06,9.829
19,CASANARE,6092,435195,14.0,467,30,4376,13,12,3,1183,8,1059,5033,5523,338,231,1193,357,74.15,78.42,23.02,7.37,2.75,0.104,65.59148333333334,8.1,8.33,7.85,72.16833333333334,53.846,5.02,12.397
20,CESAR,4707,1295387,3.63,448,59,1699,5,8,3,2402,83,839,3868,4255,263,189,3444,841,74.64,74.47,26.21,15.42,10.63,0.159,59.504216666666665,7.77,8.12,7.39,73.06833333333333,42.606,4.01,24.579
21,CAQUETA,4676,410521,11.39,458,25,3577,23,27,2,561,3,772,3904,4096,353,227,1599,477,59.47,73.47,35.55,12.66,5.0,0.139,58.0626,6.84,7.26,6.34,71.26,40.714,5.45,14.527
22,QUINDIO,4490,555401,8.08,592,34,2396,10,12,1,1395,50,905,3585,3946,280,264,1892,573,87.75,88.59,5.25,0.67,0.0,0.055,68.97043333333333,8.58,8.61,8.54,76.79,50.689,4.4,12.986
23,GUAJIRA,3772,965718,3.91,218,42,2861,13,9,3,613,13,533,3239,3507,157,108,3206,719,54.82,65.31,40.22,28.26,22.66,0.25,56.0002,7.83,8.14,7.46,73.76,50.626,5.1,45.532
24,ARAUCA,3139,294206,10.67,234,15,1955,29,17,3,876,10,551,2588,2861,182,96,878,238,63.08,80.3,21.75,3.0,1.01,0.095,65.38445,7.76,8.12,7.36,70.33,60.251,4.26,21.694
25,PUTUMAYO,2277,359127,6.34,229,8,1305,10,0,1,722,2,384,1893,2108,107,62,1155,324,48.82,74.23,34.77,6.54,2.78,0.119,60.008250000000004,7.2,7.26,7.13,74.07000000000001,49.94,3.95,36.126
26,CHOCO,1427,544764,2.62,264,19,658,8,8,2,455,13,223,1204,1328,50,49,1674,446,49.18,60.09,58.49,33.11,16.71,0.21,56.52665,7.15,7.36,6.91,75.77166666666666,48.638,4.18,27.087
27,AMAZONAS,1299,79020,16.44,69,1,1096,2,6,2,123,0,263,1036,1147,93,59,255,63,37.24,66.69,51.38,20.06,5.09,0.148,57.519433333333325,8.46,8.12,8.81,71.61833333333333,57.811,5.12,32.243
28,SAN ANDRES,1077,63692,16.91,133,10,621,7,4,0,301,1,158,919,1009,40,28,256,81,71.95,84.99,7.93,0.52,0.1,0.06,68.0274,10.18,10.34,9.99,72.28333333333335,68.891,3.27,12.761
29,GUAVIARE,825,86657,9.52,117,9,334,4,4,2,355,0,137,688,745,51,29,218,68,100.0,77.93,24.0,5.41,0.52,0.088,65.14556666666667,7.97,8.14,7.76,78.01333333333334,54.634,4.3,13.003
30,GUAINIA,483,50636,9.54,67,0,298,1,2,3,111,1,93,390,448,22,13,139,35,30.66,52.69,69.83,46.38,29.25,0.244,42.093783333333334,6.4,5.81,6.91,69.00333333333333,48.644,4.64,15.12
31,VAUPES,264,44712,5.9,29,0,155,0,1,1,77,1,57,207,247,10,7,146,32,38.62,42.01,72.56,58.81,47.57,0.394,36.59498333333334,6.8,6.14,7.44,72.60666666666667,60.141,4.44,41.038
32,VICHADA,259,112958,2.29,38,2,128,3,5,0,83,0,38,221,251,4,4,104,30,100.0,80.46,18.25,3.19,0.43,0.061,63.23563333333334,8.34,8.35,8.33,71.34500000000001,53.021,4.75,14.347
